complaint_id,date_received,product,issue,consumer_complaint_narrative,company,state,submitted_via,company_response_to_consumer,timely_response,consumer_disputed
3001495,2023-08-01,Debt collection,Attempts to collect debt not owed,"To whom it may concern, This collector is trying to collect a debt that is not mine, likely a case of mistaken identity.",Redwood Lending Group,NJ,Phone,Closed without relief,Yes,No
3001496,2023-01-25,Credit card or prepaid card,Fees or interest,This has been an ongoing problem. I was charged an overdraft and interest fee that was never disclosed to me when I opened the account.,Vantage Capital Partners,GA,Fax,Closed with explanation,Yes,No
3001497,2024-01-04,Checking or savings account,Opening an account,I was denied the ability to open a basic checking account without a clear reason given. This has caused significant stress.,Pinnacle Servicing LLC,CA,Postal mail,Closed without relief,Yes,No
3001498,2023-12-23,Student loan,Struggling to repay your loan,This has been an ongoing problem. I applied for an income-driven repayment plan and my servicer never processed it correctly. This has caused significant stress.,Redwood Lending Group,NC,Phone,Closed with monetary relief,Yes,No
3001499,2023-02-19,Checking or savings account,Managing an account,This has been an ongoing problem. My account was overdrawn due to a hold the bank placed without telling me in advance. This has caused significant stress.,Redwood Lending Group,FL,Fax,Closed with non-monetary relief,Yes,No
3001500,2024-06-21,"Credit reporting, credit repair services, or other personal consumer reports",Problem with a credit reporting company's investigation,I would like to report the following issue. I filed a dispute over 30 days ago and the credit bureau has not corrected or responded to my investigation. I would appreciate a prompt resolution.,Coastal Credit Union,MA,Referral,Closed with monetary relief,Yes,No
3001501,2023-11-16,Debt collection,Communication tactics,"To whom it may concern, I am receiving multiple collection calls per day, well beyond what is allowed under regulation.",Summit Card Services,IN,Web,Closed with non-monetary relief,Yes,No
3001502,2024-03-09,"Money transfer, virtual currency, or money service",Fraud or scam,I would like to report the following issue. Someone used my account to send a fraudulent money transfer and the company will not refund me.,Summit Card Services,GA,Web,Closed with non-monetary relief,Yes,No
3001503,2025-03-08,Mortgage,Applying for a mortgage,"To whom it may concern, My mortgage servicer misapplied my monthly payment and then charged me a late fee. I would appreciate a prompt resolution.",Union Point Financial,MO,Phone,Closed with non-monetary relief,Yes,Yes
3001504,2025-02-23,Debt collection,Written notification about debt,I would like to report the following issue. I never received the required written validation notice before collection calls started. Please investigate this matter.,Coastal Credit Union,IN,Web,In progress,Yes,Yes
3001505,2023-06-09,Mortgage,Trouble during payment process,I am writing to file a complaint. My mortgage servicer misapplied my monthly payment and then charged me a late fee.,Summit Card Services,GA,Email,Closed with monetary relief,Yes,No
3001506,2024-12-31,Mortgage,Struggling to pay mortgage,"To whom it may concern, I requested a loan modification months ago and have not received any response from my servicer. I would appreciate a prompt resolution.",Redwood Lending Group,PA,Fax,In progress,Yes,No
3001507,2024-04-16,"Money transfer, virtual currency, or money service",Fraud or scam,I am writing to file a complaint. A company charged my account for a transfer I never initiated or approved. This has caused significant stress.,Cedarbrook Bank,TN,Fax,Closed without relief,Yes,No
3001508,2025-03-16,Mortgage,Applying for a mortgage,My mortgage application has been delayed for months with no clear update from the lender. This has caused significant stress.,Vantage Capital Partners,MD,Fax,Closed without relief,Yes,No
3001509,2023-05-10,"Money transfer, virtual currency, or money service",Problem with a lender or other company charging your account,"To whom it may concern, A company charged my account for a transfer I never initiated or approved.",Acme Financial Services,OH,Web,In progress,Yes,No
3001510,2024-01-18,Credit card or prepaid card,Closing your account,This has been an ongoing problem. I was charged an overdraft and interest fee that was never disclosed to me when I opened the account. This has caused significant stress.,Acme Financial Services,NJ,Postal mail,Closed with non-monetary relief,Yes,No
3001511,2024-10-26,"Money transfer, virtual currency, or money service",Fraud or scam,This has been an ongoing problem. Someone used my account to send a fraudulent money transfer and the company will not refund me. Please investigate this matter.,Coastal Credit Union,WA,Referral,Closed with non-monetary relief,Yes,No
3001512,2024-04-22,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,"This has been an ongoing problem. My credit report shows a late payment that was never late, I have proof of on time payment.",Union Point Financial,VA,Referral,Closed without relief,Yes,No
3001513,2023-10-30,Debt collection,Communication tactics,"To whom it may concern, I am receiving multiple collection calls per day, well beyond what is allowed under regulation. I would appreciate a prompt resolution.",Harbor Trust Bank,TX,Phone,Closed without relief,No,No
3001514,2023-12-30,Checking or savings account,Opening an account,I was denied the ability to open a basic checking account without a clear reason given. This has caused significant stress.,Cedarbrook Bank,MO,Postal mail,Closed with explanation,Yes,No
3001515,2023-01-12,"Money transfer, virtual currency, or money service",Problem with a lender or other company charging your account,I would like to report the following issue. Someone used my account to send a fraudulent money transfer and the company will not refund me. Please investigate this matter.,Northgate Bank,IL,Fax,In progress,Yes,No
3001516,2024-02-18,Credit card or prepaid card,Problem with a purchase shown on your statement,I am writing to file a complaint. I was charged an overdraft and interest fee that was never disclosed to me when I opened the account.,Harbor Trust Bank,WI,Postal mail,Closed with monetary relief,Yes,Yes
3001517,2024-03-24,Mortgage,Struggling to pay mortgage,I requested a loan modification months ago and have not received any response from my servicer. I would appreciate a prompt resolution.,Union Point Financial,AZ,Email,Closed with explanation,Yes,No
3001518,2024-11-07,Student loan,Dealing with your lender or servicer,This has been an ongoing problem. My student loan servicer will not respond to my repeated requests about my repayment plan. This has caused significant stress.,Union Point Financial,NC,Referral,Closed with non-monetary relief,Yes,No
3001519,2023-02-12,"Money transfer, virtual currency, or money service",Fraud or scam,This has been an ongoing problem. A company charged my account for a transfer I never initiated or approved. Please investigate this matter.,Acme Financial Services,MI,Web,Closed with non-monetary relief,Yes,No
3001520,2024-07-14,Debt collection,Communication tactics,"To whom it may concern, I am receiving multiple collection calls per day, well beyond what is allowed under regulation.",Vantage Capital Partners,NC,Referral,Closed with explanation,Yes,No
3001521,2023-08-13,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,"This has been an ongoing problem. My credit report shows a late payment that was never late, I have proof of on time payment. I would appreciate a prompt resolution.",Union Point Financial,PA,Fax,Closed without relief,Yes,No
3001522,2025-05-21,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,"My credit report shows a late payment that was never late, I have proof of on time payment. This has caused significant stress.",Union Point Financial,NC,Email,In progress,Yes,No
3001523,2024-11-14,Mortgage,Applying for a mortgage,My mortgage application has been delayed for months with no clear update from the lender. Please investigate this matter.,Vantage Capital Partners,IN,Fax,Closed with monetary relief,Yes,No
3001524,2023-10-06,"Money transfer, virtual currency, or money service",Fraud or scam,This has been an ongoing problem. Someone used my account to send a fraudulent money transfer and the company will not refund me.,Harbor Trust Bank,IN,Phone,Closed without relief,Yes,No
3001525,2024-07-22,Student loan,Struggling to repay your loan,I am writing to file a complaint. My student loan servicer will not respond to my repeated requests about my repayment plan. Please investigate this matter.,Redwood Lending Group,GA,Referral,Closed without relief,Yes,No
3001526,2024-03-05,Debt collection,Attempts to collect debt not owed,"This has been an ongoing problem. This collector is trying to collect a debt that is not mine, likely a case of mistaken identity.",Vantage Capital Partners,NJ,Phone,Closed with explanation,Yes,No
3001527,2024-03-22,Debt collection,Written notification about debt,I would like to report the following issue. I never received the required written validation notice before collection calls started. I would appreciate a prompt resolution.,Pinnacle Servicing LLC,AZ,Referral,Closed without relief,Yes,No
3001528,2023-08-30,Checking or savings account,Managing an account,I am writing to file a complaint. I was unable to access my own checking account funds for over a week with no explanation. This has caused significant stress.,Union Point Financial,TN,Postal mail,In progress,Yes,Yes
3001529,2024-09-17,Debt collection,Communication tactics,"I would like to report the following issue. I am receiving multiple collection calls per day, well beyond what is allowed under regulation. Please investigate this matter.",Summit Card Services,NJ,Referral,In progress,Yes,No
3001530,2025-03-26,Credit card or prepaid card,Getting a credit card,I am writing to file a complaint. My credit card application was denied for reasons that were never clearly explained to me. I would appreciate a prompt resolution.,Acme Financial Services,IL,Email,Closed without relief,Yes,Yes
3001531,2024-04-27,Checking or savings account,Managing an account,I am writing to file a complaint. I was unable to access my own checking account funds for over a week with no explanation. I would appreciate a prompt resolution.,Summit Card Services,TX,Referral,Closed with monetary relief,Yes,No
3001532,2023-02-11,"Money transfer, virtual currency, or money service",Problem with a lender or other company charging your account,A company charged my account for a transfer I never initiated or approved. I would appreciate a prompt resolution.,Summit Card Services,MI,Phone,Closed with explanation,Yes,No
3001533,2024-02-05,"Credit reporting, credit repair services, or other personal consumer reports",Problem with a credit reporting company's investigation,"To whom it may concern, There is an account on my credit report that does not belong to me and I have disputed it multiple times. Please investigate this matter.",Union Point Financial,NY,Phone,In progress,Yes,No
3001534,2024-04-18,Credit card or prepaid card,Problem with a purchase shown on your statement,"To whom it may concern, There is a charge on my card statement for a purchase I never made or authorized. I would appreciate a prompt resolution.",Vantage Capital Partners,NC,Referral,In progress,Yes,No
3001535,2025-05-22,"Credit reporting, credit repair services, or other personal consumer reports",Improper use of your report,I am writing to file a complaint. A company pulled my credit report without my permission for a purpose I never authorized.,Harbor Trust Bank,PA,Fax,Closed without relief,Yes,No
3001536,2024-03-04,"Money transfer, virtual currency, or money service",Problem with a lender or other company charging your account,I would like to report the following issue. A company charged my account for a transfer I never initiated or approved.,Redwood Lending Group,MI,Fax,Closed with monetary relief,Yes,No
3001537,2023-03-02,Debt collection,Written notification about debt,I am writing to file a complaint. I never received the required written validation notice before collection calls started. I would appreciate a prompt resolution.,Vantage Capital Partners,NY,Referral,Closed with explanation,Yes,No
3001538,2024-08-16,Checking or savings account,Managing an account,I would like to report the following issue. My account was overdrawn due to a hold the bank placed without telling me in advance. This has caused significant stress.,Redwood Lending Group,TN,Postal mail,Closed without relief,No,Yes
3001539,2024-11-02,"Credit reporting, credit repair services, or other personal consumer reports",Problem with a credit reporting company's investigation,"To whom it may concern, I filed a dispute over 30 days ago and the credit bureau has not corrected or responded to my investigation.",Acme Financial Services,VA,Referral,Closed without relief,Yes,No
3001540,2025-04-12,Debt collection,False statements or representation,"This has been an ongoing problem. This collector is trying to collect a debt that is not mine, likely a case of mistaken identity. Please investigate this matter.",Union Point Financial,MA,Fax,Closed without relief,Yes,No
3001541,2025-02-08,"Money transfer, virtual currency, or money service",Problem with a lender or other company charging your account,This has been an ongoing problem. A company charged my account for a transfer I never initiated or approved. This has caused significant stress.,Vantage Capital Partners,PA,Web,Closed with non-monetary relief,Yes,No
3001542,2023-09-03,Credit card or prepaid card,Getting a credit card,I am writing to file a complaint. I was charged an overdraft and interest fee that was never disclosed to me when I opened the account. Please investigate this matter.,Cedarbrook Bank,WI,Postal mail,Closed with monetary relief,Yes,No
3001543,2025-03-30,Debt collection,Written notification about debt,I would like to report the following issue. I never received the required written validation notice before collection calls started. This has caused significant stress.,Vantage Capital Partners,VA,Phone,Closed with explanation,Yes,Yes
3001544,2023-12-07,"Credit reporting, credit repair services, or other personal consumer reports",Improper use of your report,"To whom it may concern, A company pulled my credit report without my permission for a purpose I never authorized. Please investigate this matter.",Cedarbrook Bank,NC,Email,Closed without relief,Yes,No
3001545,2024-04-10,Mortgage,Applying for a mortgage,This has been an ongoing problem. My mortgage application has been delayed for months with no clear update from the lender. I would appreciate a prompt resolution.,Vantage Capital Partners,MO,Phone,In progress,Yes,No
3001546,2024-04-30,"Money transfer, virtual currency, or money service",Problem with a lender or other company charging your account,This has been an ongoing problem. Someone used my account to send a fraudulent money transfer and the company will not refund me. I would appreciate a prompt resolution.,Pinnacle Servicing LLC,MA,Email,In progress,Yes,No
3001547,2023-11-04,Debt collection,False statements or representation,This has been an ongoing problem. The collection agency threatened legal action that they have no authority to actually pursue. This has caused significant stress.,Acme Financial Services,GA,Fax,In progress,Yes,No
3001548,2025-04-21,Credit card or prepaid card,Getting a credit card,I am writing to file a complaint. My credit card application was denied for reasons that were never clearly explained to me. Please investigate this matter.,Union Point Financial,GA,Postal mail,Closed with explanation,No,Yes
3001549,2023-01-17,Checking or savings account,Managing an account,I was unable to access my own checking account funds for over a week with no explanation.,Cedarbrook Bank,MI,Email,Closed with explanation,Yes,No
3001550,2024-02-03,Checking or savings account,Opening an account,I am writing to file a complaint. I was denied the ability to open a basic checking account without a clear reason given. Please investigate this matter.,Cedarbrook Bank,NJ,Referral,In progress,Yes,No
3001551,2024-05-06,Student loan,Dealing with your lender or servicer,I would like to report the following issue. I applied for an income-driven repayment plan and my servicer never processed it correctly. Please investigate this matter.,Acme Financial Services,NY,Referral,Closed with monetary relief,Yes,No
3001552,2023-07-28,Debt collection,False statements or representation,"To whom it may concern, The collection agency threatened legal action that they have no authority to actually pursue.",Summit Card Services,VA,Web,Closed with monetary relief,Yes,No
3001553,2023-03-09,Credit card or prepaid card,Problem with a purchase shown on your statement,I am writing to file a complaint. I was charged an overdraft and interest fee that was never disclosed to me when I opened the account. Please investigate this matter.,Coastal Credit Union,PA,Web,Closed without relief,Yes,Yes
3001554,2024-05-07,Credit card or prepaid card,Problem with a purchase shown on your statement,There is a charge on my card statement for a purchase I never made or authorized. I would appreciate a prompt resolution.,Vantage Capital Partners,NC,Web,Closed with monetary relief,Yes,No
3001555,2025-01-12,"Money transfer, virtual currency, or money service",Fraud or scam,"To whom it may concern, Someone used my account to send a fraudulent money transfer and the company will not refund me. This has caused significant stress.",Acme Financial Services,WI,Web,Closed with explanation,Yes,No
3001556,2023-01-31,Debt collection,Written notification about debt,This has been an ongoing problem. I never received the required written validation notice before collection calls started. This has caused significant stress.,Harbor Trust Bank,WA,Postal mail,Closed with explanation,Yes,Yes
3001557,2025-03-03,"Money transfer, virtual currency, or money service",Problem with a lender or other company charging your account,A company charged my account for a transfer I never initiated or approved.,Vantage Capital Partners,FL,Fax,Closed with non-monetary relief,Yes,No
3001558,2024-10-19,"Money transfer, virtual currency, or money service",Problem with a lender or other company charging your account,This has been an ongoing problem. A company charged my account for a transfer I never initiated or approved. This has caused significant stress.,Harbor Trust Bank,OH,Web,Closed with explanation,Yes,Yes
3001559,2024-03-01,Checking or savings account,Managing an account,I would like to report the following issue. I was denied the ability to open a basic checking account without a clear reason given. This has caused significant stress.,Acme Financial Services,NJ,Postal mail,Closed with explanation,Yes,No
3001560,2024-04-29,Debt collection,Attempts to collect debt not owed,I am being contacted about a debt that I already paid off two years ago and have receipts to prove it. Please investigate this matter.,Union Point Financial,MO,Email,Closed with monetary relief,Yes,No
3001561,2024-07-03,"Credit reporting, credit repair services, or other personal consumer reports",Problem with a credit reporting company's investigation,"To whom it may concern, I filed a dispute over 30 days ago and the credit bureau has not corrected or responded to my investigation. This has caused significant stress.",Pinnacle Servicing LLC,MI,Web,Closed with explanation,Yes,No
3001562,2023-06-06,"Credit reporting, credit repair services, or other personal consumer reports",Improper use of your report,I would like to report the following issue. A company pulled my credit report without my permission for a purpose I never authorized.,Coastal Credit Union,NJ,Postal mail,Closed with explanation,Yes,No
3001563,2023-01-27,Mortgage,Struggling to pay mortgage,This has been an ongoing problem. My mortgage application has been delayed for months with no clear update from the lender. I would appreciate a prompt resolution.,Coastal Credit Union,NJ,Referral,Closed with explanation,Yes,Yes
3001564,2023-04-08,"Money transfer, virtual currency, or money service",Fraud or scam,I would like to report the following issue. Someone used my account to send a fraudulent money transfer and the company will not refund me. I would appreciate a prompt resolution.,Coastal Credit Union,NJ,Phone,Closed with explanation,No,No
3001565,2023-10-11,Debt collection,Written notification about debt,"To whom it may concern, I never received the required written validation notice before collection calls started. I would appreciate a prompt resolution.",Coastal Credit Union,MO,Email,Closed with explanation,Yes,No
3001566,2025-02-09,"Money transfer, virtual currency, or money service",Problem with a lender or other company charging your account,I am writing to file a complaint. A company charged my account for a transfer I never initiated or approved.,Acme Financial Services,MI,Postal mail,Closed with explanation,No,No
3001567,2023-04-07,Student loan,Struggling to repay your loan,"To whom it may concern, I applied for an income-driven repayment plan and my servicer never processed it correctly. I would appreciate a prompt resolution.",Vantage Capital Partners,CA,Web,Closed without relief,Yes,No
3001568,2023-09-28,"Credit reporting, credit repair services, or other personal consumer reports",Improper use of your report,A company pulled my credit report without my permission for a purpose I never authorized. I would appreciate a prompt resolution.,Summit Card Services,MD,Email,Closed with non-monetary relief,Yes,No
3001569,2025-01-16,"Credit reporting, credit repair services, or other personal consumer reports",Improper use of your report,This has been an ongoing problem. There is an account on my credit report that does not belong to me and I have disputed it multiple times. Please investigate this matter.,Summit Card Services,PA,Fax,In progress,Yes,Yes
3001570,2024-05-19,Debt collection,Communication tactics,The collection agency threatened legal action that they have no authority to actually pursue. Please investigate this matter.,Cedarbrook Bank,GA,Web,Closed without relief,Yes,No
3001571,2024-02-19,Debt collection,Communication tactics,"I would like to report the following issue. I am receiving multiple collection calls per day, well beyond what is allowed under regulation. Please investigate this matter.",Vantage Capital Partners,AZ,Email,Closed with monetary relief,Yes,No
3001572,2024-10-25,Credit card or prepaid card,Fees or interest,This has been an ongoing problem. I was charged an overdraft and interest fee that was never disclosed to me when I opened the account. This has caused significant stress.,Vantage Capital Partners,TN,Web,Closed with explanation,Yes,No
3001573,2025-04-13,Checking or savings account,Opening an account,"To whom it may concern, I was denied the ability to open a basic checking account without a clear reason given. Please investigate this matter.",Vantage Capital Partners,NY,Fax,Closed with non-monetary relief,Yes,No
3001574,2024-12-01,Debt collection,Attempts to collect debt not owed,I am writing to file a complaint. I am being contacted about a debt that I already paid off two years ago and have receipts to prove it. I would appreciate a prompt resolution.,Pinnacle Servicing LLC,IL,Referral,Closed with monetary relief,Yes,No
3001575,2023-04-20,"Credit reporting, credit repair services, or other personal consumer reports",Problem with a credit reporting company's investigation,I am writing to file a complaint. There is an account on my credit report that does not belong to me and I have disputed it multiple times.,Harbor Trust Bank,OH,Postal mail,Closed with non-monetary relief,Yes,No
3001576,2024-11-06,Debt collection,Attempts to collect debt not owed,"This has been an ongoing problem. This collector is trying to collect a debt that is not mine, likely a case of mistaken identity.",Cedarbrook Bank,NC,Postal mail,Closed with non-monetary relief,Yes,No
3001577,2024-05-16,"Money transfer, virtual currency, or money service",Fraud or scam,"To whom it may concern, Someone used my account to send a fraudulent money transfer and the company will not refund me. Please investigate this matter.",Union Point Financial,NC,Postal mail,Closed with explanation,Yes,No
3001578,2025-02-05,Credit card or prepaid card,Problem with a purchase shown on your statement,I am writing to file a complaint. There is a charge on my card statement for a purchase I never made or authorized. I would appreciate a prompt resolution.,Union Point Financial,IN,Phone,Closed with non-monetary relief,No,Yes
3001579,2023-07-01,Checking or savings account,Managing an account,I would like to report the following issue. I was unable to access my own checking account funds for over a week with no explanation. This has caused significant stress.,Pinnacle Servicing LLC,CA,Postal mail,In progress,Yes,No
3001580,2023-07-25,"Credit reporting, credit repair services, or other personal consumer reports",Problem with a credit reporting company's investigation,"To whom it may concern, I filed a dispute over 30 days ago and the credit bureau has not corrected or responded to my investigation.",Coastal Credit Union,TN,Postal mail,Closed with monetary relief,Yes,Yes
3001581,2024-10-22,Debt collection,Communication tactics,"I am writing to file a complaint. I am receiving multiple collection calls per day, well beyond what is allowed under regulation. Please investigate this matter.",Union Point Financial,WA,Referral,In progress,Yes,No
3001582,2024-06-18,Mortgage,Applying for a mortgage,I would like to report the following issue. My mortgage application has been delayed for months with no clear update from the lender. This has caused significant stress.,Coastal Credit Union,NY,Phone,In progress,Yes,No
3001583,2023-09-05,"Money transfer, virtual currency, or money service",Problem with a lender or other company charging your account,I am writing to file a complaint. A company charged my account for a transfer I never initiated or approved. I would appreciate a prompt resolution.,Coastal Credit Union,NC,Referral,In progress,No,Yes
3001584,2023-12-02,"Money transfer, virtual currency, or money service",Fraud or scam,"To whom it may concern, Someone used my account to send a fraudulent money transfer and the company will not refund me. I would appreciate a prompt resolution.",Cedarbrook Bank,AZ,Email,Closed with monetary relief,Yes,No
3001585,2023-09-15,"Credit reporting, credit repair services, or other personal consumer reports",Improper use of your report,I would like to report the following issue. A company pulled my credit report without my permission for a purpose I never authorized.,Coastal Credit Union,MD,Referral,Closed without relief,Yes,No
3001586,2023-02-16,Student loan,Struggling to repay your loan,"To whom it may concern, My student loan servicer will not respond to my repeated requests about my repayment plan. This has caused significant stress.",Harbor Trust Bank,VA,Postal mail,Closed with non-monetary relief,Yes,Yes
3001587,2024-12-07,Mortgage,Struggling to pay mortgage,I requested a loan modification months ago and have not received any response from my servicer. I would appreciate a prompt resolution.,Northgate Bank,NY,Email,Closed with non-monetary relief,Yes,No
3001588,2024-07-01,Debt collection,Communication tactics,"This has been an ongoing problem. I am receiving multiple collection calls per day, well beyond what is allowed under regulation.",Northgate Bank,NY,Fax,In progress,Yes,No
3001589,2023-02-07,Checking or savings account,Opening an account,I would like to report the following issue. I was unable to access my own checking account funds for over a week with no explanation. I would appreciate a prompt resolution.,Coastal Credit Union,CA,Email,Closed without relief,Yes,No
3001590,2023-12-15,"Credit reporting, credit repair services, or other personal consumer reports",Improper use of your report,"To whom it may concern, A company pulled my credit report without my permission for a purpose I never authorized. I would appreciate a prompt resolution.",Redwood Lending Group,WI,Web,Closed with explanation,Yes,No
3001591,2024-12-06,"Money transfer, virtual currency, or money service",Problem with a lender or other company charging your account,I am writing to file a complaint. A company charged my account for a transfer I never initiated or approved.,Coastal Credit Union,MO,Referral,Closed with explanation,Yes,No
3001592,2023-04-13,"Money transfer, virtual currency, or money service",Problem with a lender or other company charging your account,This has been an ongoing problem. A company charged my account for a transfer I never initiated or approved. This has caused significant stress.,Northgate Bank,IN,Email,Closed with non-monetary relief,Yes,No
3001593,2023-01-28,Mortgage,Struggling to pay mortgage,This has been an ongoing problem. My mortgage application has been delayed for months with no clear update from the lender. Please investigate this matter.,Northgate Bank,MD,Web,Closed with monetary relief,Yes,No
3001594,2023-07-20,Debt collection,Written notification about debt,I am writing to file a complaint. I never received the required written validation notice before collection calls started. Please investigate this matter.,Redwood Lending Group,OH,Referral,Closed with monetary relief,Yes,No
3001595,2023-02-02,Checking or savings account,Managing an account,I was unable to access my own checking account funds for over a week with no explanation. Please investigate this matter.,Northgate Bank,OH,Phone,Closed with monetary relief,Yes,No
3001596,2023-01-08,"Money transfer, virtual currency, or money service",Problem with a lender or other company charging your account,This has been an ongoing problem. Someone used my account to send a fraudulent money transfer and the company will not refund me.,Summit Card Services,VA,Web,In progress,No,No
3001597,2024-03-01,Debt collection,Communication tactics,I am writing to file a complaint. I am being contacted about a debt that I already paid off two years ago and have receipts to prove it. Please investigate this matter.,Northgate Bank,AZ,Referral,Closed with non-monetary relief,Yes,No
3001598,2024-04-04,Credit card or prepaid card,Closing your account,My account was closed without any prior notice and I still had a positive balance. Please investigate this matter.,Pinnacle Servicing LLC,PA,Email,Closed without relief,No,No
3001599,2024-02-20,Credit card or prepaid card,Closing your account,I am writing to file a complaint. My account was closed without any prior notice and I still had a positive balance. Please investigate this matter.,Coastal Credit Union,WA,Email,Closed without relief,Yes,No
3001600,2024-07-27,"Credit reporting, credit repair services, or other personal consumer reports",Problem with a credit reporting company's investigation,"To whom it may concern, There is an account on my credit report that does not belong to me and I have disputed it multiple times. I would appreciate a prompt resolution.",Union Point Financial,WA,Fax,In progress,Yes,No
3001601,2023-02-21,Student loan,Dealing with your lender or servicer,"To whom it may concern, I applied for an income-driven repayment plan and my servicer never processed it correctly. Please investigate this matter.",Cedarbrook Bank,WI,Email,Closed with explanation,Yes,No
3001602,2023-12-07,Debt collection,Attempts to collect debt not owed,I would like to report the following issue. I am being contacted about a debt that I already paid off two years ago and have receipts to prove it. This has caused significant stress.,Cedarbrook Bank,IL,Referral,Closed with explanation,Yes,No
3001603,2024-12-16,Checking or savings account,Problem caused by your funds being low,"To whom it may concern, My account was overdrawn due to a hold the bank placed without telling me in advance. Please investigate this matter.",Northgate Bank,IN,Referral,In progress,Yes,No
3001604,2023-06-18,Checking or savings account,Managing an account,I would like to report the following issue. I was unable to access my own checking account funds for over a week with no explanation.,Coastal Credit Union,NJ,Web,Closed with explanation,Yes,No
3001605,2023-11-27,"Money transfer, virtual currency, or money service",Fraud or scam,I am writing to file a complaint. Someone used my account to send a fraudulent money transfer and the company will not refund me. I would appreciate a prompt resolution.,Summit Card Services,MD,Web,Closed with explanation,Yes,No
3001606,2023-02-28,Student loan,Dealing with your lender or servicer,This has been an ongoing problem. My student loan servicer will not respond to my repeated requests about my repayment plan. This has caused significant stress.,Vantage Capital Partners,CA,Fax,Closed with non-monetary relief,Yes,No
3001607,2025-02-09,Credit card or prepaid card,Closing your account,My account was closed without any prior notice and I still had a positive balance. This has caused significant stress.,Coastal Credit Union,NC,Referral,Closed with explanation,Yes,Yes
3001608,2024-06-18,Mortgage,Trouble during payment process,I would like to report the following issue. My mortgage servicer misapplied my monthly payment and then charged me a late fee.,Northgate Bank,IL,Referral,Closed with monetary relief,Yes,Yes
3001609,2023-02-11,Mortgage,Applying for a mortgage,This has been an ongoing problem. My mortgage application has been delayed for months with no clear update from the lender.,Cedarbrook Bank,AZ,Postal mail,Closed with explanation,Yes,No
3001610,2024-10-13,"Credit reporting, credit repair services, or other personal consumer reports",Problem with a credit reporting company's investigation,This has been an ongoing problem. A company pulled my credit report without my permission for a purpose I never authorized. This has caused significant stress.,Harbor Trust Bank,FL,Phone,In progress,Yes,Yes
3001611,2023-06-02,Credit card or prepaid card,Fees or interest,"To whom it may concern, I was charged an overdraft and interest fee that was never disclosed to me when I opened the account.",Coastal Credit Union,IN,Referral,Closed with monetary relief,Yes,Yes
3001612,2025-01-17,Credit card or prepaid card,Problem with a purchase shown on your statement,There is a charge on my card statement for a purchase I never made or authorized.,Acme Financial Services,MO,Fax,Closed with explanation,Yes,No
3001613,2024-09-24,Student loan,Struggling to repay your loan,This has been an ongoing problem. My student loan servicer will not respond to my repeated requests about my repayment plan.,Harbor Trust Bank,CA,Email,In progress,Yes,No
3001614,2023-09-16,Debt collection,Written notification about debt,I am writing to file a complaint. The collection agency threatened legal action that they have no authority to actually pursue.,Cedarbrook Bank,NY,Email,In progress,Yes,No
3001615,2024-05-25,Student loan,Dealing with your lender or servicer,"To whom it may concern, My student loan servicer will not respond to my repeated requests about my repayment plan.",Redwood Lending Group,IN,Referral,Closed without relief,Yes,No
3001616,2023-09-06,Student loan,Dealing with your lender or servicer,This has been an ongoing problem. My student loan servicer will not respond to my repeated requests about my repayment plan. This has caused significant stress.,Summit Card Services,FL,Referral,Closed without relief,Yes,Yes
3001617,2024-02-22,Mortgage,Applying for a mortgage,My mortgage application has been delayed for months with no clear update from the lender. This has caused significant stress.,Coastal Credit Union,PA,Web,Closed with non-monetary relief,Yes,No
3001618,2025-03-07,Checking or savings account,Opening an account,I am writing to file a complaint. My account was overdrawn due to a hold the bank placed without telling me in advance. This has caused significant stress.,Coastal Credit Union,FL,Postal mail,Closed with explanation,Yes,No
3001619,2025-02-07,"Money transfer, virtual currency, or money service",Problem with a lender or other company charging your account,"To whom it may concern, A company charged my account for a transfer I never initiated or approved. This has caused significant stress.",Harbor Trust Bank,MI,Web,Closed with non-monetary relief,Yes,No
3001620,2023-10-28,Checking or savings account,Managing an account,I would like to report the following issue. I was unable to access my own checking account funds for over a week with no explanation. Please investigate this matter.,Redwood Lending Group,CA,Fax,Closed with explanation,Yes,No
3001621,2025-03-01,Checking or savings account,Problem caused by your funds being low,I would like to report the following issue. My account was overdrawn due to a hold the bank placed without telling me in advance. I would appreciate a prompt resolution.,Redwood Lending Group,NY,Phone,Closed with non-monetary relief,Yes,No
3001622,2025-01-12,Mortgage,Applying for a mortgage,I would like to report the following issue. My mortgage application has been delayed for months with no clear update from the lender. This has caused significant stress.,Summit Card Services,MA,Email,Closed with explanation,Yes,Yes
3001623,2023-08-10,Student loan,Struggling to repay your loan,"To whom it may concern, My student loan servicer will not respond to my repeated requests about my repayment plan. Please investigate this matter.",Redwood Lending Group,VA,Referral,In progress,Yes,No
3001624,2025-04-06,Credit card or prepaid card,Closing your account,This has been an ongoing problem. My account was closed without any prior notice and I still had a positive balance. Please investigate this matter.,Summit Card Services,NY,Web,Closed with explanation,Yes,No
3001625,2024-09-13,Student loan,Struggling to repay your loan,I applied for an income-driven repayment plan and my servicer never processed it correctly. I would appreciate a prompt resolution.,Redwood Lending Group,GA,Email,Closed with explanation,Yes,Yes
